t,MV,PV,DV
0.000000000000000000e+00,5.999999999999997158e+01,1.605999999999999872e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.999999999999997868e+01,1.612999999999999901e+01,5.000000000000000000e+01
2.000000000000000000e+00,6.000000000000002842e+01,1.619000000000000128e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.999999999999998579e+01,1.619000000000000128e+01,5.000000000000000000e+01
4.000000000000000000e+00,6.000000000000000000e+01,1.610000000000000142e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.999999999999997868e+01,1.626000000000000156e+01,5.000000000000000000e+01
6.000000000000000000e+00,6.000000000000000000e+01,1.623000000000000043e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.999999999999997868e+01,1.639000000000000057e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.999999999999998579e+01,1.642000000000000171e+01,5.000000000000000000e+01
9.000000000000000000e+00,6.000000000000001421e+01,1.639000000000000057e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.999999999999997158e+01,1.635000000000000142e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.999999999999998579e+01,1.639000000000000057e+01,5.000000000000000000e+01
1.200000000000000000e+01,6.000000000000000711e+01,1.639000000000000057e+01,5.000000000000000000e+01
1.300000000000000000e+01,6.000000000000001421e+01,1.639000000000000057e+01,5.000000000000000000e+01
1.400000000000000000e+01,6.000000000000001421e+01,1.639000000000000057e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.999999999999997868e+01,1.644999999999999929e+01,5.000000000000000000e+01
1.600000000000000000e+01,6.000000000000002132e+01,1.655000000000000071e+01,5.000000000000000000e+01
1.700000000000000000e+01,6.000000000000002132e+01,1.671000000000000085e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.999999999999997158e+01,1.671000000000000085e+01,5.000000000000000000e+01
1.900000000000000000e+01,6.000000000000002132e+01,1.671000000000000085e+01,5.000000000000000000e+01
2.000000000000000000e+01,6.000000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01
2.100000000000000000e+01,6.000000000000000711e+01,1.676999999999999957e+01,5.000000000000000000e+01
2.200000000000000000e+01,6.000000000000000711e+01,1.692999999999999972e+01,5.000000000000000000e+01
2.300000000000000000e+01,6.000000000000002132e+01,1.703000000000000114e+01,5.000000000000000000e+01
